Scheme-Id	Agency-Id	Version	Schlüssel	Wert	Sprache	Beschreibung
Branchenschluessel	de.ilb	1	154	70.22.0	de	Absatzförderung (strategische Unternehmensberatung; nicht Werbeberatung und Werbegestaltung)
Branchenschluessel	de.ilb	1	155	73.11.0	de	Absatzförderung (Werbeberatung und Werbegestaltung)
Branchenschluessel	de.ilb	1	156	46.69.3	de	Absatzplatten (Schuhteile), Gh.
Branchenschluessel	de.ilb	1	157	46.14.1	de	Absatzplatten (Schuhteile), V.
Branchenschluessel	de.ilb	1	158	22.19.0	de	Absatzplatten aus Gummi (Schuhteile), H.
Branchenschluessel	de.ilb	1	159	22.29.0	de	Absatzplatten aus Kunststoff (Schuhteile), H.
Branchenschluessel	de.ilb	1	160	47.54.0	de	Absauganlagen (Ventilatoren für den Haushalt), Eh.
Branchenschluessel	de.ilb	1	161	46.43.2	de	Absauganlagen (Ventilatoren für den Haushalt), Gh.
Branchenschluessel	de.ilb	1	162	46.69.2	de	Absauganlagen für Gase aus Verbrennungsmotoren (Ventilatoren), Gh.
Branchenschluessel	de.ilb	1	163	46.69.2	de	Abscheider (industrielle), Gh.
Branchenschluessel	de.ilb	1	164	46.14.1	de	Abscheider (industrielle), V.
Branchenschluessel	de.ilb	1	165	28.14.0	de	Abscheider (industrielle, Sanitär- und Heizungsarmaturen; nicht aus Gummi, Glas oder Keramik), H.
Branchenschluessel	de.ilb	1	166	46.74.2	de	Abscheider (Sanitär- und Heizungsarmaturen), Gh.
Branchenschluessel	de.ilb	1	167	46.14.7	de	Abscheider (Sanitär- und Heizungsarmaturen), V.
Branchenschluessel	de.ilb	1	168	06.20.0	de	Abscheidung flüssiger Kohlenwasserstoff-Fraktionen (Erdöl- und Erdgasgewinnung)
Branchenschluessel	de.ilb	1	169	52.21.9	de	Abschleppdienst
Branchenschluessel	de.ilb	1	170	52.21.9	de	Abschleppen von Kraftwagen
Branchenschluessel	de.ilb	1	171	29.32.0	de	Abschleppstangen für Kraftwagen, H.
Branchenschluessel	de.ilb	1	172	29.10.2	de	Abschleppwagen, H.
Branchenschluessel	de.ilb	1	173	45.19.0	de	Abschleppwagen, Handel
Branchenschluessel	de.ilb	1	174	47.52.3	de	Abschlussleisten aus Holz, Eh.
Branchenschluessel	de.ilb	1	175	46.73.2	de	Abschlussleisten aus Holz, Gh.
Branchenschluessel	de.ilb	1	176	46.13.1	de	Abschlussleisten aus Holz, V.
Branchenschluessel	de.ilb	1	177	69.20.2	de	Abschlussprüfung (Jahresabschlussprüfung, Konzernabschlussprüfung) durch vereidigte Buchprüfer/innen und Buchprüfungsgesellschaften
Branchenschluessel	de.ilb	1	178	69.20.1	de	Abschlussprüfung (Jahresabschlussprüfung, Konzernabschlussprüfung) durch Wirtschaftsprüfer/innen und Wirtschaftsprüfungsgesellschaften
Branchenschluessel	de.ilb	1	179	46.69.2	de	Absorptionswärmepumpen, Gh.
Branchenschluessel	de.ilb	1	180	28.25.0	de	Absorptionswärmepumpen, H.
Branchenschluessel	de.ilb	1	181	46.14.1	de	Absorptionswärmepumpen, V.
Branchenschluessel	de.ilb	1	182	46.69.2	de	Absperrventile (industrielle), Gh.
Branchenschluessel	de.ilb	1	183	46.14.1	de	Absperrventile (industrielle), V.
Branchenschluessel	de.ilb	1	184	28.14.0	de	Absperrventile (industrielle, Sanitär- und Heizungsarmaturen; nicht aus Gummi, Glas oder Keramik), H.
Branchenschluessel	de.ilb	1	185	46.74.2	de	Absperrventile (Sanitär- und Heizungsarmaturen), Gh.
Branchenschluessel	de.ilb	1	186	46.14.7	de	Absperrventile (Sanitär- und Heizungsarmaturen), V.
Branchenschluessel	de.ilb	1	187	47.43.0	de	Abstimmungsanlagen, elektronische (elektroakustische Phonoanlagen), Eh.
Branchenschluessel	de.ilb	1	188	46.43.3	de	Abstimmungsanlagen, elektronische (elektroakustische Phonoanlagen), Gh.
Branchenschluessel	de.ilb	1	189	26.40.0	de	Abstimmungsanlagen, elektronische (elektroakustische Phonoanlagen), H.
Branchenschluessel	de.ilb	1	190	46.14.3	de	Abstimmungsanlagen, elektronische (elektroakustische Phonoanlagen), V.
Branchenschluessel	de.ilb	1	191	46.69.3	de	Abtastfilme für Zylindergravur, Gh.
Branchenschluessel	de.ilb	1	192	18.13.0	de	Abtastfilme für Zylindergravur, H.
Branchenschluessel	de.ilb	1	193	46.14.1	de	Abtastfilme für Zylindergravur, V.
Branchenschluessel	de.ilb	1	194	94.91.0	de	Abteien
Branchenschluessel	de.ilb	1	195	46.69.1	de	Abteile (Teile für Luft- und Raumfahrzeuge), Gh.
Branchenschluessel	de.ilb	1	196	30.30.0	de	Abteile (Teile für Luft- und Raumfahrzeuge), H.
Branchenschluessel	de.ilb	1	197	46.14.2	de	Abteile (Teile für Luft- und Raumfahrzeuge), V.
Branchenschluessel	de.ilb	1	198	43.22.0	de	Abwärmeverwertungsanlageninstallation in Bauwerken
Branchenschluessel	de.ilb	1	199	37.00.2	de	Abwasseraufbereitung
Branchenschluessel	de.ilb	1	200	46.69.2	de	Abwasseraufbereitungsanlagen, Gh.
Branchenschluessel	de.ilb	1	201	28.29.0	de	Abwasseraufbereitungsanlagen, H.
Branchenschluessel	de.ilb	1	202	46.14.1	de	Abwasseraufbereitungsanlagen, V.
Branchenschluessel	de.ilb	1	203	37.00.2	de	Abwasserbeseitigung (Kläranlagen)
Branchenschluessel	de.ilb	1	204	37.00.1	de	Abwasserbeseitigung (Sammelkanalisation)
Branchenschluessel	de.ilb	1	205	42.21.0	de	Abwasserleitungsbau
Branchenschluessel	de.ilb	1	206	37.00.2	de	Abwasserreinigung
Branchenschluessel	de.ilb	1	207	38.31.0	de	Abwrackung von Schiffen
Branchenschluessel	de.ilb	1	208	46.69.2	de	Abwurfeinrichtungen für Schütt- und Stückgut, Gh.
Branchenschluessel	de.ilb	1	209	28.22.0	de	Abwurfeinrichtungen für Schütt- und Stückgut, H.
Branchenschluessel	de.ilb	1	210	46.14.1	de	Abwurfeinrichtungen für Schütt- und Stückgut, V.
Branchenschluessel	de.ilb	1	211	32.13.0	de	Abzeichen (Fantasieschmuck)
Branchenschluessel	de.ilb	1	212	47.71.0	de	Abzeichen, textile, Eh.
Branchenschluessel	de.ilb	1	213	46.42.1	de	Abzeichen, textile, Gh.
Branchenschluessel	de.ilb	1	214	13.99.0	de	Abzeichen, textile, H.
Branchenschluessel	de.ilb	1	215	46.16.4	de	Abzeichen, textile, V.
Branchenschluessel	de.ilb	1	216	58.19.0	de	Abziehbilder, Bildfolien
Branchenschluessel	de.ilb	1	217	18.12.0	de	Abziehbilder, Druck
Branchenschluessel	de.ilb	1	218	47.62.2	de	Abziehbilder, Eh.
Branchenschluessel	de.ilb	1	219	46.49.4	de	Abziehbilder, Gh.
Branchenschluessel	de.ilb	1	220	46.18.7	de	Abziehbilder, V.
Branchenschluessel	de.ilb	1	221	27.33.0	de	Abzweigdosen (Elektrizitätsverteilungs- und -schalteinrichtungen), H.
Branchenschluessel	de.ilb	1	222	46.43.2	de	Abzweigdosen (für den Haushalt), Gh.
Branchenschluessel	de.ilb	1	223	46.69.3	de	Abzweigdosen (nicht für den Haushalt), Gh.
Branchenschluessel	de.ilb	1	224	47.52.3	de	Abzweigdosen, Eh.
Branchenschluessel	de.ilb	1	225	46.14.9	de	Abzweigdosen, V.
Branchenschluessel	de.ilb	1	226	46.42.1	de	Accessoires (Bekleidungszubehör), Gh.
Branchenschluessel	de.ilb	1	227	46.16.4	de	Accessoires (Bekleidungszubehör), V.
Branchenschluessel	de.ilb	1	228	46.75.0	de	Acetale, Gh.
Branchenschluessel	de.ilb	1	229	20.14.0	de	Acetale, H.
